,st_code,bus_cnt
0,150,15
1,151,6
2,152,10
3,153,6
4,154,10
5,155,7
6,156,5
7,157,4
8,158,7
9,159,10
10,201,7
11,202,5
12,203,5
13,204,8
14,205,6
15,206,4
16,207,5
17,208,6
18,209,2
19,210,4
20,211,3
21,212,9
22,213,2
23,214,5
24,215,2
25,216,9
26,217,3
27,218,4
28,219,9
29,220,6
30,221,3
31,222,5
32,223,5
33,224,3
34,225,2
35,226,3
36,227,3
37,228,9
38,229,5
39,230,9
40,231,4
41,232,5
42,233,5
43,234,7
44,235,5
45,236,2
46,237,8
47,238,10
48,239,7
49,240,9
50,241,10
51,242,4
52,243,8
53,244,3
54,245,8
55,246,7
56,247,4
57,248,5
58,249,6
59,250,10
60,260,9
61,310,10
62,311,10
63,312,11
64,313,8
65,314,5
66,315,5
67,316,5
68,317,6
69,318,4
70,319,6
71,320,5
72,321,5
73,322,5
74,323,6
75,324,3
76,326,3
77,327,6
78,328,3
79,329,6
80,330,5
81,331,5
82,332,4
83,333,3
84,334,6
85,335,6
86,336,1
87,337,2
88,338,4
89,339,8
90,340,6
91,341,5
92,342,4
93,409,2
94,410,9
95,411,6
96,412,4
97,413,4
98,414,7
99,415,3
100,416,6
101,417,11
102,418,7
103,419,5
104,420,4
105,421,5
106,422,6
107,423,5
108,424,4
109,425,5
110,426,10
111,427,10
112,428,3
113,429,7
114,430,4
115,431,4
116,432,7
117,433,3
118,434,3
119,1002,8
120,1003,6
121,1004,4
122,1005,3
123,1006,9
124,1007,5
125,1008,4
126,1013,6
127,1015,4
128,1016,5
129,1017,3
130,1018,13
131,1019,4
132,1020,7
133,1021,1
134,1022,3
135,1023,6
136,1025,6
137,1030,8
138,1031,7
139,1032,4
140,1200,4
141,1290,6
142,1450,2
143,1453,2
144,1454,4
145,1455,4
146,1457,2
147,1458,8
148,1701,5
149,1702,7
150,1704,3
151,1705,2
152,1706,3
153,1707,4
154,1708,5
155,1709,3
156,1751,4
157,1763,4
158,1801,5
159,1804,1
160,1805,3
161,1821,7
162,1822,2
163,1851,2
164,1852,3
165,1853,2
166,1854,2
167,1855,1
168,1856,2
169,1859,2
170,1860,3
171,1861,2
172,1901,8
173,1902,2
174,1903,3
175,1904,1
176,1905,2
177,1906,2
178,1950,3
179,1951,2
180,1952,5
181,1953,2
182,1954,4
183,1955,2
184,1956,2
185,1957,2
186,1958,3
187,2511,8
188,2512,3
189,2513,2
190,2514,5
191,2516,9
192,2517,6
193,2518,5
194,2519,5
195,2520,2
196,2521,9
197,2522,6
198,2524,3
199,2525,6
200,2526,4
201,2527,3
202,2528,3
203,2529,4
204,2530,11
205,2531,3
206,2532,8
207,2533,6
208,2534,10
209,2535,6
210,2536,7
211,2537,5
212,2538,4
213,2539,3
214,2540,2
215,2541,6
216,2542,4
217,2543,6
218,2544,6
219,2545,5
220,2546,3
221,2547,2
222,2548,4
223,2549,5
224,2550,4
225,2551,2
226,2552,4
227,2553,4
228,2554,6
229,2555,2
230,2556,2
231,2557,5
232,2558,4
233,2559,5
234,2560,8
235,2561,3
236,2611,7
237,2612,9
238,2613,8
239,2614,6
240,2615,10
241,2616,6
242,2617,7
243,2618,5
244,2619,6
245,2621,6
246,2622,4
247,2623,10
248,2624,4
249,2625,7
250,2626,5
251,2627,10
252,2628,8
253,2629,3
254,2630,2
255,2631,4
256,2632,4
257,2633,4
258,2634,6
259,2635,4
260,2636,5
261,2637,8
262,2638,2
263,2639,6
264,2640,3
265,2641,6
266,2642,4
267,2643,3
268,2644,7
269,2645,15
270,2646,6
271,2647,7
272,2648,6
273,2711,4
274,2712,2
275,2713,5
276,2714,5
277,2715,7
278,2716,7
279,2717,10
280,2718,8
281,2719,6
282,2720,8
283,2721,9
284,2722,3
285,2723,8
286,2724,9
287,2725,6
288,2726,5
289,2727,7
290,2728,5
291,2729,8
292,2730,3
293,2731,5
294,2732,6
295,2733,4
296,2734,5
297,2735,3
298,2736,6
299,2737,2
300,2738,9
301,2739,4
302,2740,3
303,2741,5
304,2742,5
305,2743,4
306,2744,7
307,2745,5
308,2746,6
309,2747,7
310,2748,7
311,2749,9
312,2750,10
313,2751,5
314,2752,7
315,2811,2
316,2812,4
317,2813,7
318,2814,3
319,2815,3
320,2816,6
321,2817,6
322,2818,9
323,2819,3
324,2820,6
325,2821,7
326,2822,2
327,2823,4
328,2824,4
329,2825,3
330,2826,2
331,2827,2
332,4102,1
333,4103,6
334,4104,2
335,4106,9
336,4107,6
337,4108,2
338,4109,3
339,4110,4
340,4111,4
341,4112,5
342,4113,8
343,4114,4
344,4115,3
345,4116,2
346,4117,3
347,4119,9
348,4120,4
349,4121,2
350,4122,5
351,4123,4
352,4124,1
353,4125,8
